Id,Title,Brand,Category,Network,Show,Date,Time,Pod Position,Dayparts,Tags,Co-Op Brand,Product,Duration,EQ Units,Broadcast Year,Broadcast Quarter,Broadcast Month,Broadcast Week
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,TBS,Married ... With Children,7/3/2017,5:13:43 AM,12,EARLY MORNING,Cable,,Google Home,30,1,2017,Q3,Jul,28
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Videos We Heart,7/3/2017,5:07:30 AM,1,EARLY MORNING,Cable,,Google Home,90,3,2017,Q3,Jul,28
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,nick@nite,George Lopez,7/3/2017,4:24:32 AM,11,OVER NIGHT,Cable,,Google Home,30,1,2017,Q3,Jul,28
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTVU,mtvU Playlist,7/3/2017,3:17:53 AM,1,OVER NIGHT,Cable,,Google Home,90,3,2017,Q3,Jul,28
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Comedy Central,South Park,7/3/2017,2:42:34 AM,4,OVER NIGHT,Cable,,Pixel,60,2,2017,Q3,Jul,28
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Fresh Faces,7/3/2017,2:28:52 AM,1,OVER NIGHT,Cable,,Google Home,90,3,2017,Q3,Jul,28
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,TBS,The Hunger Games,7/3/2017,1:52:46 AM,1,OVER NIGHT,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,28
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,MTV Hits,Crushworthy,7/3/2017,1:28:38 AM,2,OVER NIGHT,Cable,,Pixel,60,2,2017,Q3,Jul,28
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,TMC,Drug War,7/3/2017,1:10:46 AM,1,OVER NIGHT,Cable,,Google Home,30,1,2017,Q3,Jul,28
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Tennis,Tennis,7/3/2017,12:58:43 AM,3,LATE FRINGE,Sports,,Google Home,30,1,2017,Q3,Jul,28
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Tennis,Tennis,7/3/2017,12:57:37 AM,1,LATE FRINGE,Sports,,Google Home,30,1,2017,Q3,Jul,28
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Discovery Life,My 600-Lb. Life,7/3/2017,12:55:31 AM,1,LATE FRINGE,Cable,,Pixel,60,2,2017,Q3,Jul,28
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,FXX,Ted,7/3/2017,12:54:15 AM,3,LATE FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,28
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Crushworthy,7/3/2017,12:36:45 AM,1,LATE FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,28
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,AXS.TV,The Beach Boys 50: Live in Concert,7/2/2017,11:44:24 PM,2,LATE FRINGE,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Lifetime Movie Network,Who Killed My Husband?,7/2/2017,11:25:42 PM,16,LATE FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,FX,Despicable Me 2,7/2/2017,11:07:04 PM,1,LATE FRINGE,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,CBS,NCIS: Los Angeles,7/2/2017,10:52:07 PM,1,PRIME TIME,Prime,,Pixel,60,2,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,TMC,Mr. Brooks,7/2/2017,10:29:08 PM,3,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,TBS,The Hunger Games,7/2/2017,10:22:19 PM,5,PRIME TIME,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3220684,"Google Home ""Home By You. Help By Google."" TV Commercial",Google,Electronics & Communication,ESPN U,30 for 30,7/2/2017,10:00:34 PM,2,PRIME TIME,Sports,,Google Home,30,1,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,FX,Despicable Me 2,7/2/2017,9:07:43 PM,1,PRIME TIME,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Videos We Heart,7/2/2017,9:06:46 PM,1,PRIME TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Animal Planet,River Monsters,7/2/2017,7:49:45 PM,1,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Fresh Faces,7/2/2017,6:28:52 PM,1,EARLY FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTVU,mtvU Video Hour,7/2/2017,5:45:21 PM,6,EARLY FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,27
3222515,Google Pixel & VR On Verizon TV Commercial,Google,Smart Phones,MTV,Alice in Wonderland,7/2/2017,5:37:55 PM,1,EARLY FRINGE,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Crushworthy,7/2/2017,4:36:44 PM,1,EARLY FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Hallmark Movie,Love's Enduring Promise,7/2/2017,4:09:59 PM,6,EARLY FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,MTVU,mtvU Video Hour,7/2/2017,4:05:07 PM,4,EARLY FRINGE,Cable,,Pixel,60,2,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Lifetime Movie Network,Mother of All Lies,7/2/2017,2:31:05 PM,3,DAY TIME,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Videos We Heart,7/2/2017,1:06:47 PM,1,DAY TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,TBS,Back to the Future Part II,7/2/2017,12:42:26 PM,21,DAY TIME,Cable,,Google Home,30,1,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,MTVU,mtvU Video Hour,7/2/2017,12:04:55 PM,5,DAY TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Fresh Faces,7/2/2017,10:28:52 AM,1,DAY TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,ESPN News,SC Featured,7/2/2017,10:09:39 AM,1,DAY TIME,Sports,,Pixel,60,2,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,MTV Jams,Music Playlist,7/2/2017,10:07:40 AM,1,DAY TIME,Cable,,Google Home,30,1,2017,Q3,Jul,27
3223730,"Google Photos ""Photos. For Life."" TV Commercial",Google,Life & Entertainment,ESPN U,30 for 30,7/2/2017,8:57:37 AM,4,EARLY MORNING,Sports,,Google Photos,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Crushworthy,7/2/2017,8:36:44 AM,1,EARLY MORNING,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,TMC,Echoes of War,7/2/2017,8:23:42 AM,5,EARLY MORNING,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTVU,mtvU Video Hour,7/2/2017,8:11:32 AM,6,EARLY MORNING,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Tennis,Tennis,7/2/2017,8:01:03 AM,1,EARLY MORNING,Sports,,Google Home,30,1,2017,Q3,Jul,27
3241314,"Google Home Hands-Free Calling ""Call A Locksmith"" TV Commercial",Google,Electronics & Communication,TNT,Law & Order,7/2/2017,7:17:08 AM,15,EARLY MORNING,Cable,,Google Home,15,0.5,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,A&E,5 Makeup Tips 4 You,7/2/2017,6:41:41 AM,2,EARLY MORNING,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,HGTV,5 Makeup Tips 4 You,7/2/2017,5:41:39 AM,3,EARLY MORNING,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241313,"Google Home Supports Multiple Users ""Workout"" TV Commercial",Google,Electronics & Communication,Adult Swim,King of the Hill,7/2/2017,5:13:54 AM,2,EARLY MORNING,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Chiller,Sinister,7/2/2017,3:33:16 AM,4,OVER NIGHT,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,The Hit List,7/2/2017,3:07:17 AM,1,OVER NIGHT,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Lifetime,Nanny Nightmare,7/2/2017,1:54:00 AM,10,OVER NIGHT,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Crushworthy,7/2/2017,1:51:05 AM,1,OVER NIGHT,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,CMT,The Replacements,7/2/2017,12:46:01 AM,1,LATE FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Weekend Vibes,7/1/2017,11:30:37 PM,12,LATE FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTVU,mtvU Video Hour,7/1/2017,10:31:58 PM,1,PRIME TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Weekend Vibes,7/1/2017,10:06:46 PM,1,PRIME TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Travel,Ghost Adventures,7/1/2017,10:01:01 PM,1,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Lifetime,Nanny Nightmare,7/1/2017,9:53:00 PM,12,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,E!,The Notebook,7/1/2017,9:47:04 PM,1,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,Chiller,Sinister,7/1/2017,9:03:16 PM,5,PRIME TIME,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,Centric,2017 BET Awards,7/1/2017,7:45:41 PM,1,PRIME TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,TMC,Déjà Vu,7/1/2017,7:29:55 PM,1,PRIME TIME,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,The Hit List,7/1/2017,7:07:17 PM,1,PRIME TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229260,"Google Pixel ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,FXX,The Maze Runner,7/1/2017,6:43:35 PM,2,EARLY FRINGE,Cable,,Pixel,60,2,2017,Q3,Jul,27
3241208,"Google Home Multiple User Support ""Carpool"" TV Commercial",Google,Electronics & Communication,Hallmark Movie,Monk,7/1/2017,6:35:29 PM,2,EARLY FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,FXX,The Maze Runner,7/1/2017,6:08:04 PM,1,EARLY FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Crushworthy,7/1/2017,5:52:03 PM,1,EARLY FRINGE,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Fox Business,Innovations Series,7/1/2017,5:00:09 PM,4,EARLY FRINGE,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,WGN,Blow,7/1/2017,4:33:03 PM,16,EARLY FRINGE,Cable,,Google Home,30,1,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Weekend Vibes,7/1/2017,3:30:37 PM,12,DAY TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,BET,2017 BET Awards,7/1/2017,3:03:36 PM,1,DAY TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3241405,"Google Home ""New Features Coming To Google Home"" - I/O 2017 TV Commercial",Google,Electronics & Communication,MTV Hits,Weekend Vibes,7/1/2017,2:06:47 PM,1,DAY TIME,Cable,,Google Home,90,3,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,USA,NCIS,7/1/2017,1:52:41 PM,1,DAY TIME,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
3241204,"Google Home ""Hands-Free Calling"" TV Commercial",Google,Electronics & Communication,ESPN CLASSIC,Tennis,7/1/2017,1:15:26 PM,1,DAY TIME,Sports,,Google Home,30,1,2017,Q3,Jul,27
3229284,"Google Pixel On Verizon ""Tributes By You, Phone By Google"" TV Commercial",Google,Smart Phones,Lifetime,Lethal Seduction,7/1/2017,12:50:22 PM,4,DAY TIME,Cable,Verizon,Pixel,30,1,2017,Q3,Jul,27
